home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Brentford,Leicester,1,2,False,True,1.84,2.05,2.41,2.56,1.57,1.7,1635080400
Manchester Utd,Liverpool,0,5,False,True,1.9,2.13,2.68,2.93,1.42,1.64,1635089400
Leicester,Arsenal,0,2,False,True,1.55,1.69,2.51,2.6,1.78,1.96,1635593400
Watford,Southampton,0,1,False,True,2.27,2.62,2.46,2.58,1.25,1.33,1635602400
Newcastle,Chelsea,0,3,False,True,6.85,7.64,3.58,3.91,0.45,0.47,1635602400
Manchester City,Crystal Palace,0,2,False,True,0.15,0.16,7.72,8.71,18.67,21.0,1635602400
Liverpool,Brighton,2,2,False,False,0.27,0.3,5.13,5.75,9.8,11.0,1635602400
Burnley,Brentford,3,1,True,False,1.63,1.74,2.19,2.35,1.9,2.0,1635602400
Tottenham,Manchester Utd,0,3,False,True,2.12,2.34,2.62,2.75,1.27,1.35,1635611400
Norwich,Leeds,1,2,False,True,2.65,2.83,2.66,2.85,1.02,1.09,1635688800
Aston Villa,West Ham,1,4,False,True,2.0,2.22,2.54,2.69,1.37,1.52,1635697800
Wolves,Everton,2,1,True,False,1.22,1.3,2.23,2.49,2.6,2.8,1635796800
Southampton,Aston Villa,1,0,True,False,1.06,1.17,2.65,2.85,2.63,3.0,1636142400
Manchester Utd,Manchester City,0,2,False,True,3.68,4.0,3.15,3.59,0.72,0.75,1636201800
Crystal Palace,Wolves,2,0,True,False,1.35,1.42,2.12,2.2,2.44,2.55,1636210800
Chelsea,Burnley,1,1,False,False,0.27,0.29,4.91,5.21,12.15,13.0,1636210800
Brentford,Norwich,1,2,False,True,0.65,0.73,3.0,3.2,4.62,5.13,1636210800
Brighton,Newcastle,1,1,False,False,0.6,0.65,3.16,3.63,5.0,5.25,1636219800
Leeds,Leicester,1,1,False,False,1.67,1.88,2.48,2.57,1.68,1.76,1636293600
Everton,Tottenham,0,0,False,False,2.45,2.77,2.31,2.37,1.25,1.32,1636293600
Arsenal,Watford,1,0,True,False,0.44,0.48,3.81,4.01,6.42,7.0,1636293600
West Ham,Liverpool,3,2,True,False,3.51,3.66,3.2,3.4,0.73,0.78,1636302600
Leicester,Chelsea,0,3,False,True,3.96,4.12,2.76,2.86,0.76,0.79,1637411400
Wolves,West Ham,1,0,True,False,2.17,2.4,2.27,2.38,1.4,1.46,1637420400
Watford,Manchester Utd,4,1,True,False,5.45,6.23,3.63,3.8,0.5,0.55,1637420400
Norwich,Southampton,2,1,True,False,2.58,2.91,2.47,2.6,1.13,1.21,1637420400
Newcastle,Brentford,3,3,False,False,1.47,1.6,2.44,2.78,1.93,2.04,1637420400
Burnley,Crystal Palace,3,3,False,False,1.84,1.94,2.2,2.54,1.69,1.8,1637420400
Aston Villa,Brighton,2,0,True,False,1.46,1.57,2.3,2.38,2.06,2.23,1637420400
Liverpool,Arsenal,4,0,True,False,0.51,0.57,3.78,4.2,5.09,5.55,1637429400
Manchester City,Everton,3,0,True,False,0.21,0.23,6.05,6.6,14.39,17.25,1637503200
Tottenham,Leeds,2,1,True,False,0.61,0.65,3.08,3.3,4.82,5.59,1637512200
