home-name,away-name,home-elo,away-elo,home-win-odds,draw-odds,away-win-odds,home-result,away-result,match-date,epoch_time,home-win-elo,draw-elo,away-win-elo,home_win_elo_bookies_draw_odds,away_win_elo_bookies_draw_odds,draw_elo_bookies_draw_odds
West Ham,Norwich,1015.8987837545357,968.0982537708628,0.5319148936170213,0.24937655860349128,0.2604166666666667,2,0,2019-08-31 15:00:00,1567260000.0,0.5250225294808587,0.0,0.4749774705191413,0.3940942178896221,0.3565292235068866,0.24937655860349128
Newcastle,Watford,984.695511077454,955.0073170873977,0.3968253968253968,0.3115264797507788,0.33112582781456956,1,1,2019-08-31 15:00:00,1567260000.0,0.5469066707132307,0.0,0.45309332928676926,0.37653076083371956,0.3119427594155016,0.3115264797507788
Manchester City,Brighton,1046.336959882856,982.0960524204706,0.9174311926605504,0.08936550491510277,0.032626427406199025,4,0,2019-08-31 15:00:00,1567260000.0,0.5509103745929569,0.0,0.4490896254070431,0.5016779908044889,0.40895650428040836,0.08936550491510277
Leicester,Bournemouth,1031.2636966573637,984.0677377004041,0.5988023952095809,0.2481389578163772,0.19267822736030826,3,1,2019-08-31 15:00:00,1567260000.0,0.524066761367405,0.0,0.47593323863259496,0.3940253813754931,0.35783566080812973,0.2481389578163772
Crystal Palace,Aston Villa,1016.7653101876871,971.5368174271882,0.4424778761061947,0.29325513196480935,0.303951367781155,1,0,2019-08-31 15:00:00,1567260000.0,0.5209550840809138,0.0,0.47904491591908616,0.3681823321510271,0.3385625358841636,0.29325513196480935
Chelsea,Sheffield Utd,1001.3370510977663,999.3315830536376,0.7194244604316546,0.2066115702479339,0.1183431952662722,2,2,2019-08-31 15:00:00,1567260000.0,0.5031788396337571,0.0,0.4968211603662429,0.39921626946149324,0.3941721602905729,0.2066115702479339
Burnley,Liverpool,986.1655241835165,1060.4665550604357,0.11135857461024498,0.18518518518518517,0.7462686567164178,0,3,2019-08-31 17:30:00,1567269000.0,0.4333869983328965,0.0,0.5666130016671035,0.35313014678976756,0.4616846680250473,0.18518518518518517
Everton,Wolves,1013.2980820465784,984.5380618801755,0.48780487804878053,0.3058103975535168,0.24752475247524752,3,2,2019-09-01 14:00:00,1567342800.0,0.49486447552570745,0.0,0.5051355244742926,0.34352977353007824,0.35065982891640496,0.3058103975535168
Arsenal,Tottenham,1015.0982197319345,998.6375830850297,0.390625,0.2747252747252747,0.373134328358209,2,2,2019-09-01 16:30:00,1567351800.0,0.5260658632908467,0.0,0.4739341367091533,0.3815422744746801,0.3437324508000453,0.2747252747252747
Liverpool,Newcastle,1073.0314573987207,972.1306087391689,0.8403361344537815,0.13245033112582782,0.0668002672010688,3,1,2019-09-14 12:30:00,1568460600.0,0.607346801928593,0.0,0.392653198071407,0.5269035169049383,0.34064615196923387,0.13245033112582782
