home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max
Crystal Palace,Leicester,0,2,False,True,2.73,2.86,2.47,2.62,1.07,1.11
Everton,Tottenham,1,1,False,False,1.51,1.59,2.59,2.66,1.75,1.84
Norwich,Watford,0,2,False,True,1.88,2.05,2.6,2.68,1.4,1.5
Chelsea,Crystal Palace,2,0,True,False,0.42,0.45,3.83,4.0,6.79,7.25
Tottenham,Sheffield Utd,1,1,False,False,0.53,0.56,3.31,3.45,5.49,6.3
Southampton,Everton,1,2,False,True,2.16,2.44,2.37,2.56,1.34,1.42
Newcastle,Bournemouth,2,1,True,False,1.58,1.69,2.27,2.47,1.88,2.12
Burnley,West Ham,3,0,True,False,1.15,1.22,2.61,2.68,2.34,2.41
Leicester,Arsenal,2,0,True,False,0.91,1.05,2.97,3.1,2.8,2.96
Wolves,Aston Villa,2,1,True,False,0.7,0.85,2.8,2.97,4.35,4.8
Manchester Utd,Brighton,3,1,True,False,0.62,0.66,2.79,2.88,5.23,5.6
Liverpool,Manchester City,3,1,True,False,1.65,1.75,2.63,2.7,1.61,1.83
West Ham,Tottenham,2,3,False,True,3.73,4.0,3.33,3.53,0.68,0.7
Watford,Burnley,0,3,False,True,1.24,1.28,2.31,2.4,2.42,2.52
Everton,Norwich,0,2,False,True,0.36,0.4,4.29,4.64,7.43,8.17
Crystal Palace,Liverpool,1,2,False,True,5.88,6.4,3.48,3.65,0.49,0.52
Brighton,Leicester,0,2,False,True,2.82,3.14,2.58,2.71,0.99,1.05
Bournemouth,Wolves,1,2,False,True,1.99,2.1,2.23,2.32,1.52,1.6
Arsenal,Southampton,2,2,False,False,0.46,0.5,3.7,3.9,5.89,6.3
Manchester City,Chelsea,2,1,True,False,0.39,0.45,4.47,4.84,6.18,6.7
Sheffield Utd,Manchester Utd,3,3,False,False,2.87,3.28,2.38,2.46,1.06,1.12
Aston Villa,Newcastle,2,0,True,False,1.18,1.25,2.51,2.58,2.36,2.55
Newcastle,Manchester City,2,2,False,False,11.01,12.0,6.75,7.5,0.2,0.23
Tottenham,Bournemouth,3,2,True,False,0.33,0.36,4.62,4.85,7.97,8.8
Liverpool,Brighton,2,1,True,False,0.2,0.23,6.04,6.65,13.78,16.0
Chelsea,West Ham,0,1,False,True,0.28,0.32,5.11,5.65,8.97,10.2
Burnley,Crystal Palace,0,2,False,True,1.05,1.2,2.45,2.56,2.84,3.18
Southampton,Watford,2,1,True,False,1.09,1.14,2.55,2.66,2.59,2.75
Wolves,Sheffield Utd,1,1,False,False,1.23,1.29,2.1,2.2,2.7,2.84
Norwich,Arsenal,2,2,False,False,3.37,3.6,3.4,3.49,0.71,0.74
Manchester Utd,Aston Villa,2,2,False,False,0.45,0.47,3.71,3.88,6.23,6.9
Leicester,Everton,2,1,True,False,0.6,0.65,3.12,3.26,4.77,5.5
Crystal Palace,Bournemouth,1,0,True,False,1.21,1.27,2.47,2.56,2.35,2.44
Burnley,Manchester City,1,4,False,True,10.47,12.0,5.79,6.61,0.24,0.26
Wolves,West Ham,2,0,True,False,0.69,0.75,2.92,3.13,4.15,4.45
Southampton,Norwich,2,1,True,False,0.78,0.85,2.9,3.04,3.47,3.75
Manchester Utd,Tottenham,2,1,True,False,1.59,1.66,2.41,2.5,1.77,1.86
Leicester,Watford,2,0,True,False,0.36,0.4,4.29,4.5,7.49,8.25
Chelsea,Aston Villa,2,1,True,False,0.34,0.37,4.6,4.9,7.45,7.93
Liverpool,Everton,5,2,True,False,0.6,0.66,3.13,3.8,4.89,6.5
Sheffield Utd,Newcastle,0,2,False,True,0.79,0.83,2.55,2.68,4.08,4.65
Arsenal,Brighton,1,2,False,True,0.61,0.67,3.32,3.64,4.31,5.3
Everton,Chelsea,3,1,True,False,2.29,2.7,2.76,2.88,1.14,1.21
Watford,Crystal Palace,0,0,False,False,1.45,1.61,2.34,2.48,2.01,2.2
Tottenham,Burnley,5,0,True,False,0.41,0.45,3.87,4.0,6.72,7.5
Bournemouth,Liverpool,0,3,False,True,5.58,6.0,3.65,3.85,0.49,0.51
Manchester City,Manchester Utd,1,2,False,True,0.33,0.35,4.76,5.2,7.85,8.5
Norwich,Sheffield Utd,1,2,False,True,2.11,2.26,2.51,2.6,1.3,1.36
Newcastle,Southampton,2,1,True,False,1.58,1.64,2.31,2.42,1.84,1.95
Aston Villa,Leicester,1,4,False,True,3.88,4.4,3.18,3.3,0.68,0.72
Brighton,Wolves,2,2,False,False,1.61,1.77,2.19,2.25,1.92,2.13
West Ham,Arsenal,1,3,False,True,2.64,3.08,3.13,3.33,0.92,1.0
Liverpool,Watford,2,0,True,False,0.18,0.2,6.78,7.58,14.99,17.5
Sheffield Utd,Aston Villa,2,0,True,False,0.79,0.86,2.85,3.0,3.49,4.0
Leicester,Norwich,1,1,False,False,0.23,0.26,5.76,6.26,11.05,12.5
Chelsea,Bournemouth,0,1,False,True,0.23,0.25,5.68,6.15,11.36,12.75
