home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
West Ham,Crystal Palace,1,1,False,False,1.15,1.19,2.4,2.59,2.53,2.7,1608148800
Liverpool,Tottenham,2,1,True,False,0.83,0.9,2.91,3.1,3.24,3.65,1608148800
Fulham,Brighton,0,0,False,False,1.93,2.04,2.29,2.44,1.54,1.58,1608148800
Aston Villa,Burnley,0,0,False,False,0.85,0.9,2.78,2.98,3.29,3.55,1608228000
Sheffield Utd,Manchester Utd,2,3,False,True,6.28,6.88,3.78,4.05,0.44,0.46,1608235200
Crystal Palace,Liverpool,0,7,False,True,4.34,4.74,3.1,3.31,0.64,0.69,1608381000
Southampton,Manchester City,0,1,False,True,5.13,5.67,3.64,3.85,0.52,0.56,1608390000
Everton,Arsenal,2,1,True,False,1.67,1.79,2.44,2.66,1.67,1.75,1608399000
Newcastle,Fulham,1,1,False,False,1.84,1.9,2.33,2.58,1.58,1.64,1608408000
Brighton,Sheffield Utd,1,1,False,False,0.87,0.94,2.47,2.73,3.62,3.84,1608465600
Tottenham,Leicester,0,2,False,True,1.09,1.16,2.5,2.58,2.63,2.91,1608473700
Manchester Utd,Leeds,6,2,True,False,0.72,0.74,3.32,3.55,3.44,3.73,1608481800
West Brom,Aston Villa,0,3,False,True,3.67,4.08,3.03,3.17,0.73,0.77,1608491700
Burnley,Wolves,2,1,True,False,2.47,2.65,2.09,2.2,1.34,1.44,1608571800
Chelsea,West Ham,3,0,True,False,0.57,0.61,3.35,3.5,4.81,5.27,1608580800
Leicester,Manchester Utd,2,2,False,False,2.01,2.16,2.57,2.69,1.34,1.4,1608985800
Fulham,Southampton,0,0,False,False,1.9,2.12,2.3,2.43,1.56,1.68,1608994800
Aston Villa,Crystal Palace,3,0,True,False,0.81,0.85,2.85,3.05,3.37,3.6,1608994800
Arsenal,Chelsea,3,1,True,False,3.81,4.15,2.91,3.1,0.74,0.77,1609003800
Sheffield Utd,Everton,0,1,False,True,2.46,2.69,2.33,2.44,1.23,1.37,1609012800
Manchester City,Newcastle,2,0,True,False,0.13,0.15,8.43,9.3,19.48,25.0,1609012800
Leeds,Burnley,1,0,True,False,0.71,0.8,3.14,3.27,3.73,4.05,1609070400
West Ham,Brighton,2,2,False,False,1.36,1.45,2.32,2.4,2.18,2.35,1609078500
Liverpool,West Brom,1,1,False,False,0.13,0.15,8.29,9.24,19.74,25.0,1609086600
Wolves,Tottenham,1,1,False,False,2.59,2.78,2.34,2.44,1.17,1.21,1609096500
Crystal Palace,Leicester,1,1,False,False,2.39,2.58,2.41,2.53,1.22,1.27,1609167600
Chelsea,Aston Villa,1,1,False,False,0.8,0.86,2.99,3.14,3.29,3.7,1609176600
West Brom,Leeds,0,5,False,True,3.22,3.4,2.97,3.15,0.82,0.9,1609264800
Southampton,West Ham,0,0,False,False,1.03,1.09,2.58,2.72,2.73,2.84,1609264800
